condition,seed,kind,expected_beep,beep_count,beep_onsets_seconds,reaction_seconds,false_beep,pressed_seconds,passed,connected,maximum_button_travel,maximum_wheel_angle,all_quiet
reset_core,131022,no_car,False,0,[],,False,0.0,True,True,0.010968956213212247,0.0016157728888334462,True
reset_core,131023,no_car,False,0,[],,False,0.0,True,True,0.0012194842061074222,0.0016157728888334477,True
reset_core,131024,no_car,False,0,[],,False,0.0,True,True,0.018739255667419207,0.0016157728888334525,True
reset_core,131025,no_car,False,0,[],,False,0.0,True,True,0.017437091796474277,0.0016157728888334512,True
reset_core,131026,no_car,False,0,[],,False,0.0,True,True,0.011920915924077867,0.0016157728888334497,True
reset_core,131027,no_car,False,0,[],,False,0.0,True,True,0.0024095406635264104,0.0016157728888334503,True
reset_core,131028,no_car,False,0,[],,False,0.0,True,True,0.034950983311322015,0.0016157728888334486,True
reset_core,131029,no_car,False,0,[],,False,0.0,True,True,0.014580840644617546,0.0016157728888334512,True
reset_core,132000,arrive_green,False,0,[],,False,0.0,True,True,0.27247134755606933,0.0016157728888334505,True
reset_core,132001,arrive_green,False,0,[],,False,0.0,True,True,0.2637112953380631,0.0016157728888334518,True
reset_core,132002,arrive_green,False,0,[],,False,0.0,True,True,0.2514404742646114,0.0016157728888334492,True
reset_core,132003,arrive_green,False,0,[],,False,0.0,True,True,0.23024613247229433,0.0016157728888334495,True
reset_core,132004,arrive_green,False,0,[],,False,0.0,True,True,0.25912588041180484,0.0016157728888334505,True
reset_core,132005,arrive_green,False,0,[],,False,0.0,True,True,0.2737583210294405,0.0016157728888334482,True
reset_core,132006,arrive_green,False,0,[],,False,0.0,True,True,0.24027557321689696,0.0016157728888334473,True
reset_core,132007,arrive_green,False,0,[],,False,0.0,True,True,0.2363341760551098,0.0016157728888334512,True
reset_core,132008,arrive_green,False,0,[],,False,0.0,True,True,0.2584021765621225,0.001615772888833449,True
reset_core,132009,arrive_green,False,0,[],,False,0.0,True,True,0.2489529027427067,0.0016157728888334492,True
reset_core,132010,arrive_green,False,0,[],,False,0.0,True,True,0.26394505060118223,0.0016157728888334505,True
reset_core,132011,arrive_green,False,0,[],,False,0.0,True,True,0.24648688909541935,0.0016157728888334503,True
reset_core,132012,arrive_green,False,0,[],,False,0.0,True,True,0.25938978074245944,0.0016157728888334492,True
reset_core,132013,arrive_green,False,0,[],,False,0.0,True,True,0.24901230334559094,0.0016157728888334514,True
reset_core,132014,arrive_green,False,0,[],,False,0.0,True,True,0.2504422987430537,0.0016157728888334505,True
reset_core,132015,arrive_green,False,0,[],,False,0.0,True,True,0.24513910067753197,0.0016157728888334488,True
reset_core,132016,arrive_green,False,0,[],,False,0.0,True,True,0.27091280081527447,0.0016157728888334495,True
