controller,seed,success,collision,position_error_m,yaw_error_deg,inside_bay,time_seconds,direction_changes
reset,34020,False,False,4.959494344730679,4.080184936553904,False,45.0,0
reset,34021,False,False,21.141212434544922,30.790336608856254,False,45.0,0
reset,34022,False,True,21.493939028456523,30.41262054440313,False,33.15,0
reset,34023,False,False,21.43173516767973,30.769996643035938,False,45.0,0
reset,34024,False,True,23.675608151738853,43.14774322506719,False,44.1,0
reset,34025,False,False,20.482817856733053,30.78636169430547,False,45.0,0
reset,34026,False,False,23.60916975809747,30.805747985809376,False,45.0,0
reset,34027,False,False,20.937042877191466,31.15696716305547,False,45.0,0
reset,34028,False,False,21.98792620506154,30.793548583953907,False,45.0,0
reset,34029,False,True,19.30473250024506,30.834014892547657,False,31.8,0
reset,34030,False,False,19.71782075667813,30.784851074188285,False,45.0,0
reset,34031,False,False,22.407355151317795,30.80892944332891,False,45.0,0
reset,34032,False,False,4.641930779284807,3.2038803100281257,False,45.0,0
reset,34033,False,False,4.7491217489603645,2.1394195556335944,False,45.0,0
reset,34034,False,False,5.169039520160477,3.4798202514343757,False,45.0,0
reset,34035,False,False,22.713076398718954,30.78069305416875,False,45.0,0
reset,34036,False,True,23.131332358303567,43.15711212155156,False,40.75,0
reset,34037,False,True,23.726632689850675,43.471275329559376,False,42.35,0
reset,34038,False,False,22.165194065186537,30.79752349850469,False,45.0,0
reset,34039,False,False,5.053638037443913,4.0537948608093775,False,45.0,0
reset,34040,False,False,5.215194971951142,2.7903366089171873,False,45.0,0
reset,34041,False,False,22.78932613814635,30.821266174285935,False,45.0,0
reset,34042,False,False,21.875293242244325,30.79759216305547,False,45.0,0
reset,34043,False,False,4.807088535684662,3.568214416534375,False,45.0,0
reset,34044,False,False,20.931742464971926,30.776649475067188,False,45.0,0
reset,34045,False,False,22.323562752108227,30.784011840789848,False,45.0,0
reset,34046,False,False,22.097182855379582,30.795433044403126,False,45.0,0
reset,34047,False,False,20.032100926222586,30.752967834442195,False,45.0,0
reset,34048,False,False,21.607980346589173,30.776062011688285,False,45.0,0
reset,34049,False,False,21.749910575781133,30.71348571774297,False,45.0,0
